"announced","budget","coinvestigators","contest","descriptors","duration","panel","start"
"2015-03-16","93800","3","PRELUDIUM","ST7_2|ST7_5|ST7_8","24","ST7","2016-03-16"
"2013-06-14","153400","7","HARMONIA","HS6_2","24","HS6","2014-06-11"
"2014-03-17","100000","2","PRELUDIUM","NZ7_14|NZ7_12","24","NZ7","2015-02-25"
"2013-06-14","1304100","9","HARMONIA","HS6_13|HS6_14","36","HS6","2014-05-05"
"2014-03-17","75920","2","PRELUDIUM","HS2_2|HS1_8|HS1_6","24","HS2","2015-02-10"
"2013-06-14","745452","9","HARMONIA","HS6_4|HS6_2","33","HS6","2014-05-05"
"2014-03-17","150000","2","PRELUDIUM","ST5_16|ST5_23|NZ1_2","36","ST5","2015-02-12"
"2013-06-14","174200","3","HARMONIA","HS6_6|HS6_2|HS6_1","24","HS6","2014-05-15"
"2013-06-14","483408","5","HARMONIA","HS6_17|HS6_15|HS6_20","36","HS6","2014-06-04"
"2013-06-14","721500","7","HARMONIA","NZ1_4","36","NZ1","2014-05-19"
"2014-03-17","130788","2","PRELUDIUM","HS2_8","36","HS2","2015-02-24"
"2013-06-14","589160","5","HARMONIA","NZ1_1|NZ2_1","24","NZ1","2014-05-19"
"2013-06-14","1168700","8","HARMONIA","NZ1_1|NZ1_11","36","NZ1","2014-05-19"
"2015-03-16","99800","2","PRELUDIUM","ST5_4|ST5_1|ST5_8","24","ST5","2016-03-14"
"2013-06-14","642720","8","HARMONIA","NZ2_2|NZ6_4|NZ2_11","36","NZ2","2014-06-04"
"2013-06-14","520000","9","HARMONIA","NZ2_2|NZ2_3|NZ2_4","36","NZ2","2014-06-04"
"2013-06-14","1254240","10","HARMONIA","NZ2_2|NZ9_2","36","NZ2","2014-06-06"
"2013-06-14","945880","6","HARMONIA","NZ1_1|NZ2_1","36","NZ2","2014-06-04"
"2013-06-14","774280","4","HARMONIA","NZ3_11|NZ3_7|NZ2_4","36","NZ3","2014-05-19"
"2013-06-14","1111749","8","HARMONIA","NZ4_4|NZ4_7|NZ7_14","36","NZ4","2014-06-04"
"2013-06-14","499200","9","HARMONIA","NZ4_7|ST7_11","36","NZ4","2014-05-19"
"2013-06-14","994500","9","HARMONIA","NZ2_2|NZ3_8|NZ4_4","36","NZ4","2014-05-19"
"2014-03-17","149747","2","PRELUDIUM","HS3_8","36","HS3","2015-03-25"
"2013-06-14","662000","8","HARMONIA","NZ1_2|NZ4_12","36","NZ4","2014-05-19"
"2015-03-16","99400","2","PRELUDIUM","ST5_16","24","ST5","2016-03-03"
"2013-06-14","1573936","8","HARMONIA","NZ5_3","36","NZ5","2014-06-04"
"2014-03-17","98800","2","PRELUDIUM","HS3_1","24","HS3","2015-03-11"
"2013-06-14","1717820","11","HARMONIA","NZ8_1","36","NZ8","2014-05-19"
"2013-06-14","253800","4","HARMONIA","ST1_18|ST7_7|ST6_11","36","ST1","2014-05-14"
"2013-06-14","425880","8","HARMONIA","ST1_8|ST1_5|ST1_19","36","ST1","2014-06-13"
"2015-03-16","99440","2","PRELUDIUM","ST7_7|ST7_5|ST7_3","24","ST7","2016-03-17"
"2013-06-14","598967","9","HARMONIA","ST2_3|ST2_2","36","ST2","2014-05-06"
"2013-06-14","698360","20","HARMONIA","ST2_1","36","ST2","2014-05-07"
"2013-06-14","1941000","21","HARMONIA","ST2_3","36","ST2","2014-06-09"
"2013-09-16","68376","2","PRELUDIUM","HS3_11|HS3_12","24","HS3","2014-07-17"
"2013-06-14","650000","9","HARMONIA","ST2_3|ST6_12|ST9_4","24","ST2","2014-04-24"
"2013-09-16","124644","2","PRELUDIUM","HS3_11","30","HS3","2014-07-03"
"2013-06-14","1999140","20","HARMONIA","ST2_2","24","ST2","2014-06-13"
"2013-06-14","473200","8","HARMONIA","ST3_10|ST3_12|ST3_11","36","ST3","2014-04-24"
"2013-06-14","1150500","15","HARMONIA","ST3_7|ST3_5","36","ST3","2014-06-09"
"2013-06-14","878280","6","HARMONIA","ST3_7","36","ST3","2014-06-06"
"2013-06-14","1294800","10","HARMONIA","ST3_12|ST3_7|ST3_5","36","ST3","2014-05-07"
"2013-06-14","592020","8","HARMONIA","ST3_12|ST7_4|ST2_8","36","ST3","2014-05-15"
"2013-06-14","1180140","10","HARMONIA","ST3_7|ST3_12|ST3_5","36","ST3","2014-05-26"
"2013-06-14","749876","6","HARMONIA","ST3_10|ST3_12|ST3_1","36","ST3","2014-05-26"
"2013-06-14","891540","12","HARMONIA","ST4_2|ST4_3|ST4_17","36","ST4","2014-05-06"
"2013-06-14","1000220","10","HARMONIA","NZ5_5|ST4_13|ST5_12","36","ST4","2014-05-06"
"2013-06-14","694678","11","HARMONIA","ST4_15|ST6_13|NZ1_4","36","ST4","2014-04-24"
"2013-06-14","1975064","21","HARMONIA","ST5_8|ST5_10|ST5_12","36","ST5","2014-05-14"
"2013-06-14","800735","6","HARMONIA","ST5_10|ST5_18|ST4_5","36","ST5","2014-05-26"
"2013-06-14","602766","7","HARMONIA","ST6_12|ST6_13|ST6_11","36","ST6","2014-04-24"
"2013-06-14","961350","9","HARMONIA","ST7_2|ST7_5|ST7_12","36","ST7","2014-05-14"
"2015-03-16","67200","2","PRELUDIUM","HS2_14|HS3_5","36","HS2","2016-02-15"
"2013-06-14","360620","3","HARMONIA","ST9_11","24","ST9","2014-05-07"
"2013-06-14","408590","5","HARMONIA","ST9_7","36","ST9","2014-05-14"
"2013-06-14","1341080","11","HARMONIA","ST9_11|ST9_12|ST9_18","36","ST9","2014-07-07"
"2015-03-16","60494","2","PRELUDIUM","HS5_2|HS5_7|HS5_9","24","HS5","2016-03-16"
"2013-06-14","3000000","11","MAESTRO","NZ1_1","60","NZ1","2014-05-20"
"2013-06-14","2045059","12","MAESTRO","ST1_9|ST1_11","60","ST1","2014-05-14"
"2013-06-14","2913852","26","MAESTRO","ST10_6|ST10_5|ST10_15","48","ST10","2014-06-09"
"2013-06-14","2783590","7","MAESTRO","ST2_3|ST2_2","60","ST2","2014-06-02"
"2013-06-14","2961080","9","MAESTRO","ST4_3","60","ST4","2014-06-04"
"2013-06-14","2923200","7","MAESTRO","ST5_23","48","ST5","2014-06-02"
"2013-09-16","78330","2","PRELUDIUM","HS2_1|HS2_14|HS2_5","36","HS2","2014-09-09"
"2013-06-14","2716000","5","MAESTRO","ST5_8|ST5_1|ST5_18","60","ST5","2014-06-09"
"2013-06-14","2356835","7","MAESTRO","ST8_3|ST8_4","39","ST8","2014-06-12"
"2013-06-14","2985349","8","MAESTRO","ST9_8|ST9_9|ST9_13","60","ST9","2014-04-17"
"2013-06-14","1477780","6","SONATA BIS","HS1_4|HS1_6","60","HS1","2014-05-14"
"2013-06-14","1054500","3","SONATA BIS","HS2_1","60","HS2","2014-05-09"
"2013-06-14","217438","3","SONATA BIS","HS3_5|HS3_8|HS3_13","36","HS3","2014-05-08"
"2013-06-14","1482810","20","SONATA BIS","HS3_8|HS3_5","48","HS3","2014-05-19"
"2013-06-14","1166200","4","SONATA BIS","HS3_1|HS3_2","60","HS3","2014-05-22"
"2013-06-14","1218320","7","SONATA BIS","HS3_8|HS3_11","60","HS3","2014-06-04"
"2013-06-14","1497123","10","SONATA BIS","HS3_8|HS3_5|HS3_12","54","HS3","2014-07-01"
"2013-06-14","223680","4","SONATA BIS","HS4_9|HS4_1|HS4_3","36","HS4","2014-06-05"
"2013-06-14","455260","6","SONATA BIS","HS5_1|HS1_7|HS6_15","36","HS5","2014-05-15"
"2013-06-14","556860","5","SONATA BIS","HS6_5","36","HS6","2014-05-09"
"2013-06-14","897205","6","SONATA BIS","HS6_1|HS6_5","36","HS6","2014-06-05"
"2013-06-14","347900","8","SONATA BIS","HS6_3","42","HS6","2014-05-15"
"2013-06-14","1209650","5","SONATA BIS","HS6_1|HS6_3","60","HS6","2014-05-09"
"2013-06-14","1482500","11","SONATA BIS","NZ1_4|NZ1_1|NZ1_9","60","NZ1","2014-07-16"
"2013-06-14","1463820","5","SONATA BIS","NZ1_1|NZ1_10","48","NZ1","2014-06-05"
"2013-06-14","1500000","7","SONATA BIS","NZ1_1|NZ1_4|NZ1_10","60","NZ1","2014-06-10"
"2013-06-14","810300","5","SONATA BIS","NZ1_6|NZ1_4|ST5_16","36","NZ1","2014-07-02"
"2013-06-14","1493140","5","SONATA BIS","NZ1_1","60","NZ1","2014-06-05"
"2013-06-14","1500000","5","SONATA BIS","NZ3_2|NZ3_13","48","NZ3","2014-06-10"
"2013-06-14","1500000","8","SONATA BIS","NZ3_1|NZ3_7|NZ3_3","54","NZ3","2014-06-10"
"2013-06-14","1292610","8","SONATA BIS","NZ3_11|NZ3_1","60","NZ3","2014-06-10"
"2013-06-14","1496570","5","SONATA BIS","NZ3_8|NZ2_1","36","NZ3","2014-06-10"
"2013-06-14","1498900","6","SONATA BIS","NZ3_5|NZ3_6|NZ4_9","60","NZ4","2014-07-08"
"2013-06-14","1391115","10","SONATA BIS","NZ5_3|NZ5_5","36","NZ5","2014-07-01"
"2013-06-14","1180714","5","SONATA BIS","NZ5_7|NZ7_14","36","NZ5","2014-07-04"
"2013-06-14","999320","5","SONATA BIS","NZ1_1|NZ3_1|NZ6_8","48","NZ6","2014-06-11"
"2013-06-14","1496769","6","SONATA BIS","NZ8_1|NZ8_2|NZ8_3","60","NZ8","2014-07-21"
"2013-06-14","1498584","6","SONATA BIS","NZ9_2|NZ9_11","60","NZ9","2014-07-01"
"2013-06-14","541300","6","SONATA BIS","ST1_6|ST1_5","60","ST1","2014-10-01"
"2013-06-14","888000","16","SONATA BIS","ST1_13|ST1_15|ST6_5","36","ST1","2014-06-13"
"2013-06-14","766400","4","SONATA BIS","ST1_4|ST1_12|ST1_2","60","ST1","2014-05-14"
"2013-06-14","1490580","12","SONATA BIS","ST10_7|ST10_6|ST10_4","42","ST10","2014-05-07"
"2013-06-14","1054370","3","SONATA BIS","ST2_1|ST2_2","36","ST2","2014-05-22"
"2013-06-14","1336900","4","SONATA BIS","ST2_2|ST2_3","42","ST2","2014-06-13"
"2013-06-14","1115000","4","SONATA BIS","ST3_12|ST4_3|ST5_10","48","ST3","2014-05-29"
"2013-06-14","1473480","7","SONATA BIS","ST3_10|ST3_13|ST3_12","48","ST3","2014-05-07"
"2013-06-14","1500000","6","SONATA BIS","ST7_5|ST3_7","60","ST3","2014-05-22"
"2013-06-14","1455700","5","SONATA BIS","ST3_7","60","ST3","2014-07-14"
"2013-06-14","875600","3","SONATA BIS","ST4_15|ST2_7","60","ST4","2014-06-13"
"2015-03-16","148353","2","PRELUDIUM","HS3_8","36","HS3","2016-03-03"
"2013-06-14","1396900","9","SONATA BIS","ST4_5|ST4_13","60","ST4","2014-06-16"
"2013-06-14","1142602","4","SONATA BIS","ST4_1|ST4_17|ST4_14","48","ST4","2014-05-22"
"2013-06-14","595200","3","SONATA BIS","ST4_4|ST4_15","48","ST4","2014-05-05"
"2013-06-14","1498700","5","SONATA BIS","ST5_23|ST5_18|ST5_20","60","ST5","2014-09-29"
"2013-06-14","1495000","6","SONATA BIS","ST5_4|ST5_12|ST4_5","60","ST5","2014-05-05"
"2013-06-14","1497800","5","SONATA BIS","ST5_23|ST5_18","60","ST5","2014-06-06"
"2013-06-14","1496840","8","SONATA BIS","ST5_22|ST5_18|ST5_23","36","ST5","2014-05-07"
"2013-06-14","714000","7","SONATA BIS","ST5_3|ST5_6|ST5_18","36","ST5","2014-06-02"
"2013-06-14","1500000","6","SONATA BIS","ST3_7|ST3_12|ST5_10","60","ST5","2014-05-29"
